Accuracy,Val Accuracy,Loss,Val Loss
0.3860434591770172,0.5177931785583496,2.275132179260254,1.832271933555603
0.5814828276634216,0.6405540704727173,1.5505036115646362,1.3362220525741577
0.6649355292320251,0.7024122476577759,1.228940486907959,1.1295474767684937
0.7100644707679749,0.7153092622756958,1.0384128093719482,1.033225178718567
0.7444484233856201,0.7594936490058899,0.9115926623344421,0.8814826011657715
0.7740568518638611,0.7559111714363098,0.7948071360588074,0.9364894032478333
0.7929799556732178,0.7814664244651794,0.7324510216712952,0.8185579180717468
0.8108882308006287,0.7893480062484741,0.6703490614891052,0.7888598442077637
0.8284980654716492,0.8098877668380737,0.6082196235656738,0.7176065444946289
0.8334527015686035,0.8079770803451538,0.5751017928123474,0.7181993126869202
0.848794162273407,0.8175304532051086,0.5304994583129883,0.7349244952201843
0.8573304414749146,0.8201576471328735,0.494791716337204,0.69953852891922
0.86365807056427,0.8182469606399536,0.46774572134017944,0.7214633822441101
0.8707616925239563,0.8395032286643982,0.4464961886405945,0.6684479117393494
0.8782234787940979,0.8337711691856384,0.4169277548789978,0.6852827668190002
0.8816857933998108,0.8454740643501282,0.39936816692352295,0.6632261872291565
0.890759289264679,0.8402197360992432,0.37514740228652954,0.7087317705154419
0.8888490796089172,0.843324601650238,0.3676590025424957,0.665188193321228
0.9014446139335632,0.8421304225921631,0.34380581974983215,0.6748752593994141
